uid,year,region,service_state,grantee_name,grant_number,grant_type,program_name,program_number,program_type,total_cumulative_enrollment,total_cumulative_enrolled_children,newly_enrolled_children,less_than_1_year_old,x1_year_old,x2_years_old,x3_years_old,x4_years_old,x5_years_and_older,pregnant_women,income_eligibility,receipt_of_public_assistance_eligibility,foster_children_eligibility,homeless_children_eligibility,over_income_eligibility,income_between_100_percent_and_130_percent_of_poverty_eligibility,hispanic_or_latino_origin_any_race_enrollees,asian_non_hispanic_enrollees,black_or_african_american_non_hispanic_enrollees,native_hawaiian_pacific_islander_non_hispanic_enrollees,white_non_hispanic_enrollees,biracial_or_multi_racial_non_hispanic_enrollees,other_race_non_hispanic_enrollees,total_noncontracted_staff,total_contracted_staff,total_departed_staff,total_departed_noncontracted_staff,total_departed_contracted_staff,total_hs_prek_teachers,total_ehs_it_teachers,total_departed_teachers,children_with_health_insurance_at_enrollment,children_with_health_insurance_at_end_of_enrollment_year,children_with_ongoing_source_of_continuous_accessible_health_care_at_enrollment_start,children_with_ongoing_source_of_continuous_accessible_health_care_at_end_enrollment,children_up_to_date_on_epdst_at_enrollment_start,children_up_to_date_on_epdst_at_enrollment_end,hs_prek_children_with_an_iep,ehs_it_children_with_an_iep,hs_prek_health_impairment,hs_prek_emotional_disturbance,hs_prek_speech_impairment,hs_prek_intellectual_disabilities,hs_prek_hearing_impairment,hs_prek_orthopedic_impairment,hs_prek_visual_impairment,hs_prek_specific_learning_disabilities,hs_prek_autism,hs_prek_traumatic_brain_injury,hs_prek_non_categorical_developmental_delay,hs_prek_multiple_disabilities_excluding_deaf_blind,hs_prek_deaf_blind,newly_enrolled_children_who_completed_behavorial_screenings,homeless_children_served,foster_care_children_served
07CH010517-000-2021,2021,Region 7,IA,"Community Opportunities, Incorporated",07CH010517,CH,"New Opportunities, Incorporated",000,HS,220,220,142,0,0,0,85,133,2,0,154,27,5,25,3,NA,57,4,14,0,134,10,1,52,29,8,NA,0,22,NA,NA,216,218,0,0,177,220,45,NA,0,2,22,1,0,0,0,0,1,0,0,19,0,142,27,10
07CH010517-200-2021,2021,Region 7,IA,"Community Opportunities, Incorporated",07CH010517,CH,"New Opportunities, Incorporated",200,EHS,65,57,38,17,14,26,0,0,0,8,29,19,1,13,3,NA,14,0,6,0,36,6,3,12,0,0,NA,0,NA,0,NA,55,55,0,1,30,57,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,14,1
07CH010845-000-2021,2021,Region 7,IA,Upper Des Moines Opportunity Inc.,07CH010845,CH,"UPPER DES MOINES OPPORTUNITY, INC",000,HS,335,335,223,0,0,0,142,193,0,0,189,9,0,43,16,NA,148,14,5,6,150,11,0,94,0,18,NA,0,21,NA,NA,310,316,0,0,211,323,44,NA,0,0,25,1,0,0,0,0,1,0,16,1,0,206,26,14
07CH010845-200-2021,2021,Region 7,IA,Upper Des Moines Opportunity Inc.,07CH010845,CH,"UPPER DES MOINES OPPORTUNITY, INC",200,EHS,235,214,120,75,64,75,0,0,0,21,147,15,3,54,0,NA,93,7,13,4,105,13,0,76,0,18,NA,0,NA,14,NA,204,197,0,0,132,207,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,40,4
07CH010906-000-2021,2021,Region 7,IA,"Tri-County Child and Family Development Council, Inc.",07CH010906,CH,"Tri-County Child & Family Development Council, Inc.",000,HS,509,509,360,0,0,3,174,332,0,0,266,128,13,74,3,NA,56,11,186,8,177,69,0,78,68,17,NA,0,63,NA,NA,459,454,111,113,336,401,30,NA,2,2,12,3,0,0,0,1,0,0,10,0,0,104,55,17
07CH010906-200-2021,2021,Region 7,IA,"Tri-County Child and Family Development Council, Inc.",07CH010906,CH,"Tri-County Child & Family Development Council, Inc.",200,EHS,354,327,196,126,85,115,1,0,0,27,180,84,6,78,0,NA,44,15,155,11,80,49,0,72,3,12,NA,1,NA,28,NA,295,289,76,76,175,163,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,61,13
07CH011100-000-2021,2021,Region 7,IA,West Central Community Action,07CH011100,CH,West Central Community Action,000,HS,224,224,153,0,0,10,85,129,0,0,138,41,8,16,13,NA,35,0,8,0,156,15,5,69,47,15,NA,0,38,NA,NA,222,221,0,0,148,205,13,NA,0,1,11,0,0,0,0,0,0,0,1,0,0,59,18,11
07CH011100-200-2021,2021,Region 7,IA,West Central Community Action,07CH011100,CH,West Central Community Action,200,EHS,113,108,45,32,34,42,0,0,0,5,59,21,8,18,4,NA,17,0,3,1,86,6,0,52,0,20,NA,0,NA,15,NA,107,107,0,0,91,92,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,10
07CH011125-200-2021,2021,Region 7,IA,"Family, Inc.",07CH011125,CH,"FAMILY, Inc",200,EHS,88,75,56,34,22,16,3,0,0,13,42,13,3,21,2,NA,17,0,9,0,49,13,0,21,2,2,NA,1,NA,0,NA,72,74,3,2,6,17,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21,4
07CH011276-000-2021,2021,Region 7,IA,"Mid-Iowa Community Action, Inc.",07CH011276,CH,"Mid-Iowa Community Action, Inc.",000,HS,171,171,76,0,0,12,71,88,0,0,79,21,4,15,15,NA,68,17,4,0,60,12,1,92,15,23,NA,3,11,NA,NA,168,169,4,4,145,166,40,NA,0,0,26,0,0,0,0,0,0,0,14,0,0,63,6,7
07CH011276-200-2021,2021,Region 7,IA,"Mid-Iowa Community Action, Inc.",07CH011276,CH,"Mid-Iowa Community Action, Inc.",200,EHS,98,93,44,26,28,39,0,0,0,5,51,17,4,6,4,NA,30,12,11,0,37,7,0,66,9,7,NA,2,NA,6,NA,93,93,3,3,44,70,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,4,5
07CH011292-000-2021,2021,Region 7,IA,North Iowa Community Action Organization,07CH011292,CH,NORTH IOWA COMMUNITY ACTION ORGANIZATION,000,HS,224,224,132,0,0,12,98,114,0,0,133,35,4,2,18,NA,35,0,17,0,147,23,0,59,17,2,NA,0,24,NA,NA,224,224,0,0,174,214,40,NA,0,6,22,0,0,0,0,0,4,0,8,0,0,33,4,4
07CH011292-200-2021,2021,Region 7,IA,North Iowa Community Action Organization,07CH011292,CH,North Iowa Community Action Early Head Start,200,EHS,22,22,12,2,9,10,1,0,0,0,12,7,1,0,0,NA,1,0,1,0,18,2,0,13,0,0,NA,0,NA,4,NA,22,22,0,0,16,16,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,7
07CH011393-000-2021,2021,Region 7,IA,Northeast Iowa Community Action Corporation,07CH011393,CH,NORTHEAST IOWA COMMUNITY ACTION CORPORATION,000,HS,251,251,152,0,0,15,95,141,0,0,140,32,2,4,20,NA,56,1,15,0,155,24,0,68,0,12,NA,0,15,NA,NA,239,240,0,0,182,244,49,NA,0,5,27,1,0,0,0,0,2,0,14,0,0,141,10,6
07CH011393-200-2021,2021,Region 7,IA,Northeast Iowa Community Action Corporation,07CH011393,CH,NORTHEAST IOWA COMMUNITY ACTION CORPORATION,200,EHS,127,119,52,37,27,30,25,0,0,8,62,23,6,2,6,NA,35,0,0,0,87,5,0,16,0,1,NA,0,NA,0,NA,113,109,0,0,30,92,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,10
07CH011550-000-2021,2021,Region 7,IA,Drake University,07CH011550,CH,Drake University Head Start,000,HS,309,309,170,0,0,0,142,167,0,0,193,24,13,19,27,NA,77,37,67,0,106,21,0,74,5,9,NA,0,17,NA,NA,302,303,0,0,236,281,18,NA,0,0,8,0,0,0,0,0,0,0,10,0,0,129,20,15
07CH011550-001-2021,2021,Region 7,IA,Drake University,07CH011550,CH,Des Moines Public Schools Head Start,001,HS,308,308,189,0,0,0,118,190,0,0,184,32,7,20,23,NA,90,29,88,0,76,23,0,67,0,4,NA,0,18,NA,NA,277,279,0,0,166,172,38,NA,0,0,4,0,0,0,0,0,0,0,34,0,0,59,41,7
07CH011550-200-2021,2021,Region 7,IA,Drake University,07CH011550,CH,Drake University Early Head Start,200,EHS,104,104,77,20,23,61,0,0,0,0,63,9,16,6,5,NA,39,7,26,0,29,2,0,41,0,5,NA,0,NA,8,NA,96,94,0,0,40,83,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,5,17
07CH011653-000-2021,2021,Region 7,IA,Community Action of Eastern Iowa,07CH011653,CH,Community Action of Eastern Iowa,000,HS,221,221,126,0,0,0,71,150,0,0,125,41,6,3,17,NA,58,0,70,0,66,26,0,126,0,22,NA,0,32,NA,NA,216,219,0,0,138,186,20,NA,0,0,7,1,0,0,0,0,0,0,12,0,0,107,3,9
07CH011653-200-2021,2021,Region 7,IA,Community Action of Eastern Iowa,07CH011653,CH,Community Action of Eastern Iowa,200,EHS,155,139,88,53,55,31,0,0,0,16,93,46,9,5,0,NA,23,0,55,0,52,25,0,56,0,3,NA,0,NA,29,NA,138,139,0,0,57,83,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,7,10
07CH011656-000-2021,2021,Region 7,IA,"Mid-Sioux Opportunity, Inc.",07CH011656,CH,"MID-SIOUX OPPORTUNITY, INC",000,HS,184,184,126,0,0,1,108,75,0,0,105,1,2,5,18,NA,52,1,10,0,119,2,0,66,28,9,NA,0,14,NA,NA,175,177,0,0,109,175,28,NA,0,0,1,0,0,0,0,0,0,0,27,0,0,118,3,3
07CH011656-200-2021,2021,Region 7,IA,"Mid-Sioux Opportunity, Inc.",07CH011656,CH,"MID-SIOUX OPPORTUNITY, INC",200,EHS,93,82,45,27,25,30,0,0,0,11,58,1,0,2,9,NA,29,1,5,0,57,1,0,27,18,1,NA,0,NA,6,NA,81,81,0,0,25,50,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4,1
07CH011695-000-2021,2021,Region 7,IA,Community Action Agency of Siouxland,07CH011695,CH,Community Action Agency of Siouxland,000,HS,267,267,172,0,0,24,104,139,0,0,189,21,10,22,25,NA,94,2,39,1,86,30,0,105,0,22,NA,0,17,NA,NA,259,259,3,3,196,261,28,NA,0,1,13,0,0,0,0,0,0,0,14,0,0,129,16,10
07CH011695-200-2021,2021,Region 7,IA,Community Action Agency of Siouxland,07CH011695,CH,Community Action Agency of Siouxland,200,EHS,114,100,36,33,33,28,6,0,0,14,78,9,5,12,10,NA,53,0,10,1,28,4,0,20,0,0,NA,0,NA,2,NA,95,99,0,0,74,76,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,13,12
07CH011783-000-2021,2021,Region 7,IA,"Hawkeye Area Community Action Program, Inc.",07CH011783,CH,"Hawkeye Area Community Action Program, Inc.",000,HS,95,95,35,0,0,0,28,67,0,0,65,6,0,4,10,NA,5,2,20,2,53,13,0,59,9,13,NA,0,12,NA,NA,95,95,0,0,90,75,19,NA,0,0,17,1,0,0,0,0,0,0,1,0,0,17,5,2
07CH011803-000-2021,2021,Region 7,IA,Community Action of Southeast Iowa,07CH011803,CH,Community Action of Southeast Iowa,000,HS,234,234,122,0,0,35,86,113,0,0,144,53,4,18,1,NA,21,0,39,0,135,39,0,67,0,15,NA,0,14,NA,NA,229,230,0,0,55,180,29,NA,0,0,24,0,1,0,0,0,1,0,3,0,0,62,21,5
07CH011803-200-2021,2021,Region 7,IA,Community Action of Southeast Iowa,07CH011803,CH,Community Action of Southeast Iowa,200,EHS,109,94,48,34,29,30,1,0,0,15,60,18,1,12,2,NA,5,0,17,0,69,18,0,42,0,8,NA,0,NA,18,NA,85,86,0,0,5,47,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,8,4
07CH011877-000-2021,2021,Region 7,IA,Southern Iowa Economic Development Association,07CH011877,CH,Southern Iowa Economic Development Association,000,HS,280,280,181,0,0,2,112,166,0,0,161,35,14,47,20,NA,38,2,21,7,187,15,3,83,0,13,NA,0,19,NA,NA,255,256,25,25,280,280,78,NA,0,10,40,0,1,0,0,0,0,0,5,22,0,104,47,23
07CH011879-000-2021,2021,Region 7,IA,"Hawkeye Area Community Action Program, Inc.",07CH011879,CH,Hawkeye Area Community Action Program,000,HS,419,419,190,0,0,0,216,203,0,0,280,18,2,13,28,NA,36,1,211,0,131,38,0,132,81,35,NA,8,47,NA,NA,419,419,1,2,202,275,47,NA,0,3,38,0,0,0,0,1,5,0,0,0,0,94,16,14
07CH011879-200-2021,2021,Region 7,IA,"Hawkeye Area Community Action Program, Inc.",07CH011879,CH,Hawkeye Area Community Action Program,200,EHS,86,85,49,23,29,33,0,0,0,1,64,2,1,3,4,NA,9,0,47,1,19,8,1,53,9,11,NA,2,NA,12,NA,85,71,0,0,5,24,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,3
07HP000122-200-2021,2021,Region 7,IA,"Community Opportunities, Incorporated",07HP000122,HP,"Community Opportunities, Incorporated",200,EHS,61,61,46,17,21,20,3,0,0,0,35,14,0,10,1,NA,16,0,3,0,35,5,2,31,0,5,NA,0,NA,12,NA,60,61,0,0,48,59,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,16,0
07HP000152-200-2021,2021,Region 7,IA,Community Action Agency of Siouxland,07HP000152,HP,Community Action Agency of Siouxland,200,EHS,86,86,48,10,33,43,0,0,0,0,58,6,5,10,7,NA,18,0,10,0,34,13,0,50,0,12,NA,0,NA,14,NA,82,85,1,1,51,60,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,8,6
07HP000187-200-2021,2021,Region 7,IA,Drake University,07HP000187,HP,Drake University,200,EHS,150,150,72,61,49,38,2,0,0,0,68,15,3,32,9,NA,43,1,56,0,28,22,0,79,0,30,NA,0,NA,61,NA,122,121,0,0,94,118,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,4
07HP000233-200-2021,2021,Region 7,IA,"Tri-County Child and Family Development Council, Inc.",07HP000233,HP,"Tri-County Child and Family Development Council, Inc.",200,EHS,57,57,55,23,19,15,0,0,0,0,43,7,0,6,0,NA,4,1,25,0,21,6,0,14,21,3,NA,3,NA,18,NA,56,57,6,5,32,34,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,9,2
07HP000246-200-2021,2021,Region 7,IA,"Hawkeye Area Community Action Program, Inc.",07HP000246,HP,"Hawkeye Area Community Action Program,Inc.",200,EHS,55,55,42,5,17,33,0,0,0,0,41,0,0,1,1,NA,5,0,29,0,17,4,0,45,12,8,NA,1,NA,11,NA,55,43,0,0,1,24,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,1
07CH010346-000-2021,2021,Region 7,KS,Arkansas City Schools-USD 470,07CH010346,CH,"USD 470, Cowley County Head Start",000,HS,138,138,94,0,0,0,40,98,0,0,96,5,4,23,10,NA,44,0,1,3,75,6,0,44,0,3,NA,0,13,NA,NA,125,127,4,6,39,47,58,NA,0,0,28,0,1,3,0,0,1,0,25,0,0,39,10,9
07CH010479-000-2021,2021,Region 7,KS,Unified School District 373,07CH010479,CH,Unified School District 373,000,HS,86,86,51,0,0,0,36,50,0,0,41,6,8,16,6,NA,20,0,1,0,56,8,0,48,1,2,NA,0,10,NA,NA,74,74,0,1,27,68,22,NA,0,0,10,0,0,0,0,0,0,0,12,0,0,48,15,8
07CH010483-000-2021,2021,Region 7,KS,"Child Start, Inc.",07CH010483,CH,"Child Start, Inc.",000,HS,83,83,53,0,0,15,28,40,0,0,46,15,3,15,4,NA,13,1,1,0,65,1,0,47,0,9,NA,0,4,NA,NA,74,14,0,0,60,69,8,NA,0,0,3,0,0,0,0,0,0,0,5,0,0,21,6,2
07CH010548-000-2021,2021,Region 7,KS,"Growing Futures Early Education Center, Inc.",07CH010548,CH,Growing Futures Early Education Center,000,HS,149,149,94,0,0,22,53,74,0,0,112,10,6,18,2,NA,67,5,39,0,30,5,2,19,0,6,NA,0,14,NA,NA,143,143,1,1,97,108,15,NA,0,0,5,0,0,0,0,0,0,0,10,0,0,7,18,7
07CH010548-200-2021,2021,Region 7,KS,"Growing Futures Early Education Center, Inc.",07CH010548,CH,Growing Futures Early Education Center,200,EHS,154,149,70,46,48,55,0,0,0,5,108,8,2,22,5,NA,73,2,30,0,37,7,5,33,0,6,NA,0,NA,8,NA,142,144,0,0,91,120,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,23,5
07CH010566-000-2021,2021,Region 7,KS,Northwest Kansas Educational Service Center,07CH010566,CH,NORTHWEST KANSAS EDUCATIONAL SERVICE CENTER,000,HS,198,198,114,0,0,2,78,118,0,0,123,10,13,4,18,NA,45,0,1,0,137,12,3,58,14,14,NA,3,13,NA,NA,181,192,0,0,12,112,64,NA,0,2,29,0,1,1,1,0,0,0,29,1,0,114,4,13
07CH010566-200-2021,2021,Region 7,KS,Northwest Kansas Educational Service Center,07CH010566,CH,NORTHWEST KANSAS EDUCATIONAL SERVICE CENTER,200,EHS,49,45,21,9,16,20,0,0,0,4,32,8,1,1,0,NA,6,1,0,0,42,0,0,14,0,2,NA,0,NA,0,NA,44,45,0,0,7,21,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,3
07CH010578-000-2021,2021,Region 7,KS,Clay County Child Care Center,07CH010578,CH,Clay County Child Care Center,000,HS,109,109,59,0,0,0,52,56,1,0,81,2,4,3,9,NA,12,0,2,0,90,4,0,64,0,21,NA,0,7,NA,NA,104,109,7,7,12,42,22,NA,0,0,19,0,0,0,0,0,0,0,3,0,0,47,9,10
07CH010578-200-2021,2021,Region 7,KS,Clay County Child Care Center,07CH010578,CH,Clay County Child Care Center,200,EHS,148,132,69,49,44,39,0,0,0,16,50,21,13,25,13,NA,16,0,2,0,120,10,0,21,0,1,NA,0,NA,0,NA,127,130,0,0,57,101,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,20,18
07CH010603-000-2021,2021,Region 7,KS,Unified School District #233,07CH010603,CH,OLATHE UNIFIED SCHOOL DISTRICT #233,000,HS,150,150,77,0,0,1,49,100,0,0,119,7,3,20,1,NA,65,4,16,0,42,23,0,43,0,7,NA,0,10,NA,NA,135,129,22,26,49,115,25,NA,0,0,21,0,0,0,0,0,0,0,4,0,0,70,26,7
07CH010852-000-2021,2021,Region 7,KS,East Central Kansas Economic Opportunity Corporation,07CH010852,CH,EAST CENTRAL KANSAS ECONOMIC OPPORTUNITY CORPORATION,000,HS,300,300,192,0,0,0,138,155,7,0,145,29,12,55,18,NA,62,7,14,0,168,47,0,92,8,24,NA,2,15,NA,NA,277,296,1,1,280,281,51,NA,0,0,34,0,0,0,0,0,1,0,9,7,0,186,56,14
07CH010852-200-2021,2021,Region 7,KS,East Central Kansas Economic Opportunity Corporation,07CH010852,CH,EAST CENTRAL KANSAS ECONOMIC OPPORTUNITY CORPORATION,200,EHS,212,194,91,58,68,68,0,0,0,18,108,26,19,46,2,NA,61,4,6,1,127,10,0,31,35,6,NA,12,NA,22,NA,138,182,0,0,189,147,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,41,20
07CH010897-000-2021,2021,Region 7,KS,Kansas Children's Service League,07CH010897,CH,KANSAS CHILDREN'S SERVICE LEAGUE,000,HS,255,255,135,0,0,0,105,150,0,0,140,9,11,42,27,NA,223,4,7,0,15,5,0,101,0,21,NA,0,14,NA,NA,228,197,0,0,2,171,29,NA,0,0,17,0,0,0,0,0,0,0,12,0,0,106,36,12
07CH010897-200-2021,2021,Region 7,KS,Kansas Children's Service League,07CH010897,CH,KANSAS CHILDREN'S SERVICE LEAGUE,200,EHS,177,170,102,35,64,70,1,0,0,7,77,1,3,45,23,NA,149,14,6,0,6,2,0,52,0,12,NA,0,NA,5,NA,154,135,0,0,0,40,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,39,3
07CH010971-000-2021,2021,Region 7,KS,Hutchinson Unified School District #308,07CH010971,CH,HUTCHINSON BOARD OF EDUCATION,000,HS,216,216,108,0,0,25,97,94,0,0,140,5,9,19,17,NA,92,0,8,0,98,18,0,74,5,12,NA,0,12,NA,NA,207,204,0,0,79,95,76,NA,0,0,19,0,0,0,0,0,0,0,57,0,0,94,27,6
07CH010971-200-2021,2021,Region 7,KS,Hutchinson Unified School District #308,07CH010971,CH,Reno County Early Head Start,200,EHS,160,146,52,47,40,45,14,0,0,14,105,5,12,21,0,NA,53,0,4,0,92,8,0,23,6,2,NA,0,NA,3,NA,111,142,5,7,29,54,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,17,15
07CH010998-000-2021,2021,Region 7,KS,McPherson Unified School District #418,07CH010998,CH,MCPHERSON USD 418,000,HS,107,107,64,0,0,0,44,63,0,0,46,4,9,11,12,NA,18,1,0,0,82,6,0,54,0,7,NA,0,14,NA,NA,101,101,0,0,34,70,30,NA,0,0,15,0,1,0,0,0,1,0,13,0,0,44,8,6
07CH011015-000-2021,2021,Region 7,KS,"Kansas City, Kansas Public Schools, USD #500",07CH011015,CH,"Kansas City, Kansas Public Schools, USD #500",000,HS,331,331,215,0,0,0,139,192,0,0,291,15,11,14,0,NA,142,27,103,1,33,20,2,56,0,0,NA,0,25,NA,NA,316,306,0,0,49,34,54,NA,0,0,9,0,0,0,1,0,0,0,44,0,0,0,4,15
07CH011015-001-2021,2021,Region 7,KS,"Kansas City, Kansas Public Schools, USD #500",07CH011015,CH,Bonner Springs Head Start,001,HS,26,26,17,0,0,0,11,15,0,0,23,1,2,0,0,NA,8,0,5,0,9,3,1,5,0,0,NA,0,2,NA,NA,25,26,0,0,26,26,2,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,16,0,2
07CH011078-000-2021,2021,Region 7,KS,Unified School District 383,07CH011078,CH,Unified School District 383,000,HS,121,121,81,0,0,0,50,71,0,0,97,10,1,12,1,NA,30,2,24,0,45,18,0,75,0,15,NA,0,13,NA,NA,115,117,0,0,55,57,12,NA,0,0,8,0,0,0,0,0,0,0,4,0,0,77,19,1
07CH011078-200-2021,2021,Region 7,KS,Unified School District 383,07CH011078,CH,Unified School District 383,200,EHS,16,16,8,5,2,9,0,0,0,0,8,7,0,0,1,NA,6,0,2,0,7,1,0,6,0,1,NA,0,NA,0,NA,16,16,0,0,13,12,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0
07CH011099-000-2021,2021,Region 7,KS,"NEK-CAP, Inc.",07CH011099,CH,"Northeast Kansas Community Action Program, Inc.",000,HS,241,241,146,0,0,33,115,93,0,0,157,9,26,12,11,NA,35,0,16,0,140,39,0,64,0,14,NA,0,14,NA,NA,234,237,3,3,220,217,37,NA,0,0,23,0,0,0,0,1,0,0,13,0,0,139,15,28
07CH011099-200-2021,2021,Region 7,KS,"NEK-CAP, Inc.",07CH011099,CH,"Northeast Kansas Community Action Program, Inc.",200,EHS,220,198,98,82,60,56,0,0,0,22,147,19,11,9,6,NA,17,0,22,3,143,27,0,26,0,4,NA,0,NA,0,NA,195,198,3,2,107,115,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,14,14
07CH011109-000-2021,2021,Region 7,KS,The Family Conservancy,07CH011109,CH,The Family Conservancy,000,HS,217,217,99,0,0,0,111,91,15,0,135,30,15,25,12,NA,106,0,78,0,18,13,1,85,1,19,NA,1,20,NA,NA,201,201,0,0,14,82,21,NA,0,0,4,0,1,1,0,0,0,0,14,1,0,20,26,16
07CH011109-001-2021,2021,Region 7,KS,The Family Conservancy,07CH011109,CH,Project Eagle,001,HS,65,65,28,0,0,0,32,33,0,0,46,6,1,6,6,NA,41,0,18,0,2,4,0,27,0,3,NA,0,6,NA,NA,63,62,0,0,0,22,9,NA,0,0,1,0,1,0,0,0,0,0,6,1,0,6,8,1
07CH011109-200-2021,2021,Region 7,KS,The Family Conservancy,07CH011109,CH,The Family Conservancy,200,EHS,25,25,12,7,10,8,0,0,0,0,15,0,3,6,1,NA,14,0,6,0,1,4,0,15,1,3,NA,0,NA,8,NA,23,23,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3
07CH011570-000-2021,2021,Region 7,KS,Unified School District #489,07CH011570,CH,USD #489 Early Childhood Connections,000,HS,109,109,78,0,0,0,53,55,1,0,78,3,2,0,2,NA,28,1,3,0,68,9,0,43,0,4,NA,0,9,NA,NA,106,105,0,0,36,71,34,NA,0,0,15,0,0,0,0,0,0,0,19,0,0,66,4,9
07CH011570-200-2021,2021,Region 7,KS,Unified School District #489,07CH011570,CH,USD #489 Early Childhood Connections,200,EHS,146,134,44,40,36,31,27,0,0,12,107,6,2,0,1,NA,30,5,2,0,87,21,0,36,6,6,NA,0,NA,17,NA,131,133,0,0,53,56,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,2,14
07CH011575-000-2021,2021,Region 7,KS,Salina Unified School District #305,07CH011575,CH,Heartland Early Education,000,HS,280,280,157,0,0,24,105,132,19,0,187,18,16,37,11,NA,66,0,12,0,167,34,0,90,32,11,NA,5,18,NA,NA,272,270,45,42,271,275,84,NA,0,0,32,0,0,0,0,0,0,0,52,0,0,124,38,13
07CH011575-200-2021,2021,Region 7,KS,Salina Unified School District #305,07CH011575,CH,Heartland Early Education,200,EHS,250,237,93,69,70,78,20,0,0,13,157,25,22,28,3,NA,71,1,8,0,132,38,0,68,32,8,NA,9,NA,31,NA,221,231,38,37,175,195,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,31,25
07CH011618-000-2021,2021,Region 7,KS,Dodge City Unified School District #443,07CH011618,CH,"Dodge City Public Schools, USD# 443",000,HS,225,225,145,0,0,0,88,137,0,0,158,5,1,3,14,NA,178,2,15,0,30,0,0,56,2,4,NA,0,14,NA,NA,184,189,8,9,49,150,18,NA,0,0,7,0,0,0,0,0,0,0,11,0,0,81,4,5
07CH011618-200-2021,2021,Region 7,KS,Dodge City Unified School District #443,07CH011618,CH,"Dodge City Public Schools, USD# 443",200,EHS,152,145,70,32,44,40,29,0,0,7,132,5,0,0,15,NA,132,1,5,0,12,0,0,28,0,3,NA,0,NA,5,NA,109,127,0,0,36,123,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,2,6
07CH011678-200-2021,2021,Region 7,KS,University of Kansas Medical Center Research Institute,07CH011678,CH,UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE,200,EHS,424,393,107,118,81,101,93,0,0,31,324,30,0,25,13,NA,273,16,100,1,23,11,0,61,0,4,NA,0,NA,19,NA,372,387,0,0,201,213,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,31,4
07CH011681-000-2021,2021,Region 7,KS,"Community Action, Inc.",07CH011681,CH,COMMUNITY ACTION INC,000,HS,78,78,39,0,0,11,33,34,0,0,34,26,6,7,5,NA,25,0,15,0,26,12,0,30,7,5,NA,4,7,NA,NA,77,77,0,0,65,62,35,NA,0,0,6,0,0,0,0,0,0,0,29,0,0,26,11,6
